C‌DIGO OACI;CIAD;NOME;MUNIC‌PIO ATENDIDO;UF;LATITUDE;LONGITUDE
SDFD;SP0054;CORONEL AVIADOR CARLOS ORLEANS GUIMAR‌ES;FERNAND‌POLIS;SP;20‌ 16' 36'' S;50‌ 12' 50'' W
SDFX;BA0054;CASA NOVA;CASA NOVA;BA;9‌ 9' 27'' S;40‌ 56' 15'' W
SDGC;SP0055;GAR‌A;GAR‌A;SP;22‌ 11' 1'' S;49‌ 39' 22'' W
SDH2;MT0662;PORTO ALEGRE DO NORTE;PORTO ALEGRE DO NORTE;MT;10‌ 55' 5'' S;51‌ 36' 32'' W
SDIG;SP0038;IBITINGA;IBITINGA;SP;21‌ 44' 50'' S;48‌ 51' 21'' W
SDIM;SP0033;DR. ANTONIO RIBEIRO NOGUEIRA J‌NIOR;ITANHA‌M;SP;24‌ 9' 53'' S;46‌ 47' 8'' W
SDIV;SP0056;ITUVERAVA;ITUVERAVA;SP;20‌ 22' 31'' S;47‌ 46' 7'' W
SDIY;BA0013;JO‌O DURVAL CARNEIRO;FEIRA DE SANTANA;BA;12‌ 12' 2'' S;38‌ 54' 23'' W
SDJC;SP0064;JABOTICABAL;JABOTICABAL;SP;21‌ 13' 51'' S;48‌ 17' 8'' W
SDJO;SP0057;S‌O JOAQUIM DA BARRA;S‌O JOAQUIM DA BARRA;SP;20‌ 35' 36'' S;47‌ 50' 32'' W
SDJV;SP0035;MUNICIPAL DE S‌O JO‌O DA BOA VISTA;S‌O JO‌O DA BOA VISTA;SP;22‌ 1' 0'' S;46‌ 50' 26'' W
SDK7;MS0563;NOVA ANDRADINA;NOVA ANDRADINA;MS;22‌ 9' 45'' S;53‌ 19' 49'' W
SDKJ;BA0025;FORMOSA DO RIO PRETO;FORMOSA DO RIO PRETO;BA;11‌ 1' 16'' S;45‌ 11' 14'' W
SDKK;SP0058;MOCOCA;MOCOCA;SP;21‌ 29' 14'' S;47‌ 2' 2'' W
SDLL;SP0048;YOLANDA PENTEADO;LEME;SP;22‌ 13' 33'' S;47‌ 22' 51'' W
SDLP;SP0034;MUNICIPAL JOS‌ BOSO;LEN‌‌IS PAULISTA;SP;22‌ 34' 42'' S;48‌ 46' 28'' W
SDLY;SP0071;ARMANDO NATALI;MAT‌O;SP;21‌ 37' 27'' S;48‌ 21' 3'' W
SDMH;SP0059;MIRASSOL;MIRASSOL;SP;20‌ 48' 26'' S;49‌ 29' 10'' W
SDMJ;SP0022;MOGI MIRIM;MOGI MIRIM;SP;22‌ 24' 39'' S;46‌ 54' 20'' W
SDMO;SP0068;MONTE ALTO;MONTE ALTO;SP;21‌ 15' 29'' S;48‌ 31' 27'' W
SDNH;SP0060;NOVO HORIZONTE;NOVO HORIZONTE;SP;21‌ 29' 52'' S;49‌ 14' 4'' W
SDNM;MT0047;BRIGADEIRO EDUARDO GOMES;NOVA MUTUM;MT;13‌ 49' 16'' S;56‌ 2' 19'' W
SDNO;SP0061;NELSON GAR‌FALO;S‌O MANUEL;SP;22‌ 41' 46'' S;48‌ 34' 34'' W
SDOU;SP0023;JORNALISTA BENEDITO PIMENTEL;OURINHOS;SP;22‌ 58' 25'' S;49‌ 54' 41'' W
SDOV;GO0005;MOZARL‌NDIA;MOZARL‌NDIA;GO;14‌ 46' 8'' S;50‌ 33' 54'' W
SDOW;PA0021;OURIL‌NDIA DO NORTE;OURIL‌NDIA DO NORTE;PA;6‌ 45' 47'' S;51‌ 2' 60'' W
SDPD;SP0072;PINDAMONHANGABA;PINDAMONHANGABA;SP;22‌ 56' 38'' S;45‌ 25' 55'' W
SDPE;TO0003;PORTO NACIONAL;PORTO NACIONAL;TO;10‌ 43' 5'' S;48‌ 23' 56'' W
SDPN;SP0024;PEN‌POLIS;PEN‌POLIS;SP;21‌ 24' 36'' S;50‌ 2' 1'' W
SDPV;SP0040;PRESIDENTE VENCESLAU;PRESIDENTE VENCESLAU;SP;21‌ 53' 36'' S;51‌ 53' 4'' W
SDPW;SP0041;PEDRO MORGANTI;PIRACICABA;SP;22‌ 42' 43'' S;47‌ 37' 5'' W
SDPY;SP0066;PIRASSUNUNGA;PIRASSUNUNGA;SP;22‌ 1' 40'' S;47‌ 25' 18'' W
SDRK;SP0049;RIO CLARO;RIO CLARO;SP;22‌ 25' 54'' S;47‌ 33' 45'' W
SDRR;SP0028;AVAR‌-ARANDU;AVAR‌;SP;23‌ 5' 32'' S;48‌ 59' 14'' W
SDRS;RJ0007;RESENDE;RESENDE;RJ;22‌ 28' 43'' S;44‌ 28' 54'' W
SDSC;SP0029;M‌RIO PEREIRA LOPES;S‌O CARLOS;SP;21‌ 52' 35'' S;47‌ 54' 12'' W
SDTB;SP0069;ATIBAIA;ATIBAIA;SP;23‌ 7' 42'' S;46‌ 34' 29'' W
SDTF;SP0050;TATU‌;TATU‌;SP;23‌ 19' 55'' S;47‌ 52' 48'' W
SDTI;SP0073;TUPI PAULISTA;TUPI PAULISTA;SP;21‌ 23' 36'' S;51‌ 36' 3'' W
SDTK;RJ0011;PARATY;PARATY;RJ;23‌ 13' 26'' S;44‌ 43' 24'' W
SDTP;SP0025;JOS‌ VICENTE FARIA LIMA;TUP‌;SP;21‌ 53' 24'' S;50‌ 30' 21'' W
SDUB;SP0065;ESTADUAL GAST‌O MADEIRA;UBATUBA;SP;23‌ 26' 29'' S;45‌ 4' 34'' W
SDUN;RJ0008;ITAPERUNA;ITAPERUNA;RJ;21‌ 13' 9'' S;41‌ 52' 33'' W
SDUQ;SP0042;PARAGUA‌U PAULISTA;PARAGUA‌U PAULISTA;SP;22‌ 25' 37'' S;50‌ 36' 25'' W
SDVE;SP0070;VERA CRUZ;VERA CRUZ;SP;22‌ 13' 49'' S;49‌ 49' 1'' W
SDVG;SP0026;DOMINGOS PIGNATARI;VOTUPORANGA;SP;20‌ 27' 26'' S;50‌ 0' 9'' W
SDWQ;PA0027;ALENQUER;ALENQUER;PA;1‌ 55' 1'' S;54‌ 43' 22'' W
SDXF;GO0020;ALTO PARA‌SO DE GOI‌S;ALTO PARA‌SO DE GOI‌S;GO;14‌ 7' 9'' S;47‌ 31' 49'' W
SDXJ;MS0017;COSTA RICA;COSTA RICA;MS;18‌ 29' 29'' S;53‌ 10' 6'' W
SDZG;CE0008;PEDRO TEIXEIRA CASTELO REGIONAL TAU‌;TAU‌;CE;5‌ 56' 0'' S;40‌ 17' 51'' W
SI68;MT0612;GELINDO STEFANUTO;CAMPO NOVO DO PARECIS;MT;13‌ 43' 53'' S;57‌ 53' 30'' W
SIBU;PB0012;JER‌NIMO S‌RGIO ROSADO MAIA;CATOL‌ DO ROCHA;PB;6‌ 21' 45'' S;37‌ 45' 19'' W
SIBW;PB0008;CONCEI‌‌O;CONCEI‌‌O;PB;7‌ 33' 45'' S;38‌ 29' 51'' W
SIBY;PB0009;LOURIVAL NUNES DE FARIAS;MONTEIRO;PB;7‌ 52' 42'' S;37‌ 8' 12'' W
SIBZ;PB0010;ITAPORANGA;ITAPORANGA;PB;7‌ 18' 40'' S;38‌ 6' 49'' W
SICB;PB0007;PEDRO SIM‌ES PIMENTA;CUIT‌;PB;6‌ 29' 15'' S;36‌ 8' 24'' W
SILC;MT0025;AEROPORTO MUNICIPAL BOM FUTURO ;LUCAS DO RIO VERDE;MT;13‌ 2' 16'' S;55‌ 57' 1'' W
SIMK;SP0011;TENENTE LUND PRESSOTO;FRANCA;SP;20‌ 35' 25'' S;47‌ 22' 57'' W
SIZX;MT0018;JUARA SUL;JUARA;MT;11‌ 17' 48'' S;57‌ 32' 56'' W
SJ4Y;GO0028;MORRINHOS;MORRINHOS;GO;17‌ 45' 42'' S;49‌ 7' 18'' W
