cod_ICAO,CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE
148,SBMI,RJ0009,MARICÁ,MARICÁ,RJ,22° 55' 5'' S,42° 49' 44'' W
149,SBMT,SP0007,CAMPO DE MARTE,SÃO PAULO,SP,23° 30' 24'' S,46° 38' 2'' W
150,SBMY,AM0015,MANICORÉ,MANICORÉ,AM,5° 48' 40'' S,61° 16' 42'' W
151,SBNV,GO0002,AERÓDROMO NACIONAL DE AVIAÇÃO,GOIÂNIA,GO,16° 37' 32'' S,49° 20' 58'' W
152,SBOI,AP0002,OIAPOQUE,OIAPOQUE,AP,3° 51' 41'' N,51° 47' 46'' W
153,SBPC,MG0018,EMBAIXADOR WALTHER MOREIRA SALLES,POÇOS DE CALDAS,MG,21° 50' 33'' S,46° 34' 10'' W
154,SBPO,PR0018,AEROPORTO REGIONAL DE PATO BRANCO - PROFESSOR JUVENAL LOUREIRO CARDOSO,PATO BRANCO,PR,26° 13' 2'' S,52° 41' 40'' W
155,SBPP,MS0005,AEROPORTO INTERNACIONAL DE PONTA PORÃ,PONTA PORÃ,MS,22° 32' 59'' S,55° 42' 11'' W
156,SBTB,PA0012,TROMBETAS,ORIXIMINÁ,PA,1° 29' 23'' S,56° 23' 49'' W
157,SBTC,BA0067,UNA/COMANDATUBA,UNA,BA,15° 21' 12'' S,38° 59' 50'' W
158,SBTK,AC0004,TARAUACÁ,TARAUACÁ,AC,8° 9' 19'' S,70° 46' 59'' W
159,SBTU,PA0007,TUCURUÍ,TUCURUÍ,PA,3° 46' 37'' S,49° 43' 11'' W
160,SDAA,SP0045,ARARAS,ARARAS,SP,22° 20' 13'' S,47° 21' 30'' W
161,SDAD,SP0046,EVERALDO MORAES BARRETO,ADAMANTINA,SP,21° 41' 46'' S,51° 5' 47'' W
162,SDAE,SP0053,SÃO PEDRO,SÃO PEDRO,SP,22° 35' 1'' S,47° 53' 46'' W
163,SDAG,RJ0010,ANGRA DOS REIS,ANGRA DOS REIS,RJ,22° 58' 31'' S,44° 18' 26'' W
164,SDAI,SP0047,AMERICANA,AMERICANA,SP,22° 45' 19'' S,47° 16' 5'' W
165,SDAM,SP0037,ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL,CAMPINAS,SP,22° 51' 33'' S,47° 6' 29'' W
166,SDBA,SP0063,BATATAIS,BATATAIS,SP,20° 52' 37'' S,47° 35' 9'' W
167,SDBB,SP0018,BEBEDOURO,BEBEDOURO,SP,20° 54' 1'' S,48° 28' 25'' W
168,SDBK,SP0019,TANCREDO DE ALMEIDA NEVES,BOTUCATU,SP,22° 56' 16'' S,48° 28' 5'' W
169,SDBY,SP0032,BARIRI,BARIRI,SP,22° 4' 9'' S,48° 42' 23'' W
170,SDCA,SP0051,CAPÃO BONITO,CAPÃO BONITO,SP,24° 2' 1'' S,48° 21' 25'' W
171,SDCG,AM0016,SENADORA EUNICE MICHILES,SÃO PAULO DE OLIVENÇA,AM,3° 28' 9'' S,68° 55' 16'' W
172,SDCO,SP0027,SOROCABA,SOROCABA,SP,23° 28' 40'' S,47° 29' 24'' W
173,SDDN,SP0020,PAULINO RIBEIRO DE ANDRADE,ANDRADINA,SP,20° 55' 30'' S,51° 22' 55'' W
174,SDDR,SP0021,DRACENA,DRACENA,SP,21° 27' 38'' S,51° 36' 25'' W
175,SDEP,SP0052,GERALDO MOACIR BORDON,PRESIDENTE EPITÁCIO,SP,21° 46' 30'' S,52° 8' 37'' W
176,SDET,SP0067,TIETÊ,TIETÊ,SP,23° 6' 17'' S,47° 43' 28'' W
177,SDFD,SP0054,CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES,FERNANDÓPOLIS,SP,20° 16' 36'' S,50° 12' 50'' W
178,SDFX,BA0054,CASA NOVA,CASA NOVA,BA,9° 9' 27'' S,40° 56' 15'' W
179,SDGC,SP0055,GARÇA,GARÇA,SP,22° 11' 1'' S,49° 39' 22'' W
180,SDH2,MT0662,PORTO ALEGRE DO NORTE,PORTO ALEGRE DO NORTE,MT,10° 55' 5'' S,51° 36' 32'' W
181,SDIG,SP0038,IBITINGA,IBITINGA,SP,21° 44' 50'' S,48° 51' 21'' W
182,SDIM,SP0033,DR. ANTONIO RIBEIRO NOGUEIRA JÚNIOR,ITANHAÉM,SP,24° 9' 53'' S,46° 47' 8'' W
183,SDIV,SP0056,ITUVERAVA,ITUVERAVA,SP,20° 22' 31'' S,47° 46' 7'' W
184,SDIY,BA0013,JOÃO DURVAL CARNEIRO,FEIRA DE SANTANA,BA,12° 12' 2'' S,38° 54' 23'' W
185,SDJC,SP0064,JABOTICABAL,JABOTICABAL,SP,21° 13' 51'' S,48° 17' 8'' W
186,SDJO,SP0057,SÃO JOAQUIM DA BARRA,SÃO JOAQUIM DA BARRA,SP,20° 35' 36'' S,47° 50' 32'' W
187,SDJV,SP0035,MUNICIPAL DE SÃO JOÃO DA BOA VISTA,SÃO JOÃO DA BOA VISTA,SP,22° 1' 0'' S,46° 50' 26'' W
188,SDK7,MS0563,NOVA ANDRADINA,NOVA ANDRADINA,MS,22° 9' 45'' S,53° 19' 49'' W
189,SDKJ,BA0025,FORMOSA DO RIO PRETO,FORMOSA DO RIO PRETO,BA,11° 1' 16'' S,45° 11' 14'' W
190,SDKK,SP0058,MOCOCA,MOCOCA,SP,21° 29' 14'' S,47° 2' 2'' W
